Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,90
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,66
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,21
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,11
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,24
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,25
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,130
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,17,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,70
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,3
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,15
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,22
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,14
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,127
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,18,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,77
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,27
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,10
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,17
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,23
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,110
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,19,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,55
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,15
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,21
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,14
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,117
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,2,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,57
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,23
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,12
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,24
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,31
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,20,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,139
