Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Nombre Circunscripción,Código CITREP,Nombre CITREP,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0006,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,102,SANDRO NESTOR CONDIA PEREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,104,JOSE FERNANDO MORALES ACUÑA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,103,JOSE DARIO MAHECHA CASTILLO,1
