"","Cod...1","Departamento","Cod...3","Municipio","Cod...5","Zona","Cod...7","Puesto","Mesa","Cod...10","Tipo de votación","Total"
"59",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,2002,"NO",117
"60",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,997997,"VOTOS NULOS",10
"61",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,998998,"VOTOS NO MARCADOS",2
"62",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,1001,"SI",129
"63",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,2002,"NO",126
"64",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,997997,"VOTOS NULOS",2
"65",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,1001,"SI",115
"66",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,2002,"NO",120
"67",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,997997,"VOTOS NULOS",4
"68",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,998998,"VOTOS NO MARCADOS",1
"69",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,1001,"SI",102
"70",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,2002,"NO",79
"71",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,997997,"VOTOS NULOS",3
"72",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,998998,"VOTOS NO MARCADOS",1
"73",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,1001,"SI",142
"74",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,2002,"NO",76
"75",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,997997,"VOTOS NULOS",1
"76",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,998998,"VOTOS NO MARCADOS",1
"77",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,1001,"SI",118
"78",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,2002,"NO",68
"79",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,997997,"VOTOS NULOS",4
"80",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",24,1001,"SI",125
"81",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",24,2002,"NO",78
"82",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",24,997997,"VOTOS NULOS",2
"83",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",25,1001,"SI",119
"84",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",25,2002,"NO",90
"85",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",25,997997,"VOTOS NULOS",5
"86",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",26,1001,"SI",92
"87",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",26,2002,"NO",58
"88",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",26,997997,"VOTOS NULOS",5
"89",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",1,1001,"SI",130
"90",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",1,2002,"NO",94
"91",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",1,997997,"VOTOS NULOS",3
"92",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",1,998998,"VOTOS NO MARCADOS",1
"93",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",2,1001,"SI",114
"94",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",2,2002,"NO",77
"95",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",2,997997,"VOTOS NULOS",4
"96",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",3,1001,"SI",114
"97",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",3,2002,"NO",54
"98",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",3,997997,"VOTOS NULOS",2
"99",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",4,1001,"SI",165
"100",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",4,2002,"NO",70
"101",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",4,997997,"VOTOS NULOS",1
"102",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",4,998998,"VOTOS NO MARCADOS",2
"103",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",5,1001,"SI",137
"104",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",5,2002,"NO",97
"105",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",5,997997,"VOTOS NULOS",3
"106",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",6,1001,"SI",149
"107",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",6,2002,"NO",90
"108",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",6,997997,"VOTOS NULOS",10
"109",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",7,1001,"SI",101
"110",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",7,2002,"NO",106
"111",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",7,997997,"VOTOS NULOS",2
"112",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",8,1001,"SI",76
"113",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",8,2002,"NO",105
"114",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",8,997997,"VOTOS NULOS",4
"115",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",9,1001,"SI",126
"116",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",9,2002,"NO",84
"117",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",9,997997,"VOTOS NULOS",1
"118",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",10,1001,"SI",113
"119",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",10,2002,"NO",88
"120",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",10,997997,"VOTOS NULOS",5
"121",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",11,1001,"SI",108
"122",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",11,2002,"NO",90
"123",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",11,997997,"VOTOS NULOS",2
"124",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",12,1001,"SI",97
"125",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",12,2002,"NO",100
"126",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",12,997997,"VOTOS NULOS",2
"127",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",12,998998,"VOTOS NO MARCADOS",2
"128",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",13,1001,"SI",41
"129",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",13,2002,"NO",34
"130",7,"BOYACA",1,"TUNJA",1,"ZONA 01","02","INS.TEC.EDUC.GONZALO SUAREZ R",13,997997,"VOTOS NULOS",2
"131",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",1,1001,"SI",175
"132",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",1,2002,"NO",72
"133",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",1,997997,"VOTOS NULOS",6
"134",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",2,1001,"SI",190
"135",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",2,2002,"NO",94
"136",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",2,997997,"VOTOS NULOS",6
"137",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",2,998998,"VOTOS NO MARCADOS",2
"138",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",3,1001,"SI",140
"139",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",3,2002,"NO",118
"140",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",3,997997,"VOTOS NULOS",6
"141",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",4,1001,"SI",115
"142",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",4,2002,"NO",86
"143",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",4,997997,"VOTOS NULOS",4
"144",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",4,998998,"VOTOS NO MARCADOS",2
"145",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",5,1001,"SI",73
"146",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",5,2002,"NO",80
"147",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",5,997997,"VOTOS NULOS",3
"148",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",5,998998,"VOTOS NO MARCADOS",1
"149",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",6,1001,"SI",116
"150",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",6,2002,"NO",125
"151",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",6,997997,"VOTOS NULOS",3
"152",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",6,998998,"VOTOS NO MARCADOS",1
"153",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",7,1001,"SI",163
"154",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",7,2002,"NO",86
"155",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",7,997997,"VOTOS NULOS",3
"156",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",8,1001,"SI",129
"157",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",8,2002,"NO",128
"158",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",8,997997,"VOTOS NULOS",1
"159",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",9,1001,"SI",130
"160",7,"BOYACA",1,"TUNJA",1,"ZONA 01","03","COL. BOYACA.JOSE I. DE MARQUE",9,2002,"NO",126
