nombre_corto;anios_cargos_nombre_corto;nombre_largo;anios_cargos_nombre_largo;confirmar (si/no)
Los Palenkes;2018 camara;Los Palenkes  Bellavista  Ch;2014 camara;
Lucia Castaneda;2011 concejo;Blanca Lucia Castañeda Garces;2023 concejo;
Luis Alfredo Silva;"2011 concejo; 2015 concejo";Luis Alfredo Rojas Silva;"2011 concejo; 2023 concejo";
Luis Angel Carrillo;2023 concejo;Luis Angel Angel Carrillo;2011 concejo;
Luis Chaparro Ramirez;2015 concejo;Luis Alfredo Chaparro Ramirez;2011 concejo;
Luis Fernando Caro;2023 concejo;Luis Fernando Cely Caro;2015 concejo;
Luis Fernando Leon;"2011 concejo; 2015 concejo";Luis Fernando Parra Leon;2014 senado;
Luis Garcia Carvajal;2015 concejo;Luis Alfredo Garcia Carvajal;2011 alcalde;
Luis Garcia Morales;2015 concejo;Luis Alfredo Garcia Morales;2019 concejo;
Luis Hernandez Avila;2015 concejo;Luis Alfredo Hernandez Avila;"2011 concejo; 2019 concejo; 2023 concejo";
Luis Martinez Piraban;2015 concejo;Luis Alfredo Martinez Piraban;2011 concejo;
Luis Perez Curtidor;2015 concejo;Luis Alfredo Perez Curtidor;"2011 concejo; 2019 concejo; 2023 concejo";
Luis Rojas Silva;2015 concejo;Luis Alfredo Rojas Silva;"2011 concejo; 2023 concejo";
Luz Estela Calderon;2011 concejo;Luz Estela Perez Calderon;"2015 concejo; 2019 concejo";
Luz Herminda Vargas;2011 concejo;Luz Herminda Navarrete Vargas;2023 concejo;
MAURICIO GUTIERREZ GONZALEZ;2019 jal;Omar Mauricio Gutierrez Gonzalez;"2015 concejo; 2019 concejo";
Manuel Salazar Salazar;2019 concejo;Manuel Salvador Velandia Salazar;2015 concejo;
Marco Tulio Diaz;2023 concejo;Marco Tulio Diaz Sanchez;2023 concejo;
Maria Antonia Mancipe;"2011 concejo; 2015 concejo";Maria Antonia Aponte Mancipe;"2011 concejo; 2023 concejo";
Maria Claudia Perez;2011 concejo;Claudia Maria Perez Giraldo;2022 senado;
Maria Elizabeth Parra;2011 concejo;Maria Elizabeth Parra Castro;2023 concejo;
Maria Emilce Rodriguez;2015 concejo;Maria Emilce Ardila Rodriguez;2011 concejo;
Maria Helena Pineda;2023 concejo;Maria Helena Castro Pineda;2023 concejo;
Maria Nilce Lopez;"2015 concejo; 2023 concejo";Maria Nilce Nilce Lopez;2011 concejo;
Mariela Martinez;"2011 concejo; 2015 concejo";Mariela Martinez Rodriguez;2022 senado;
Martha Liliana Martinez;2011 concejo;Martha Liliana Martinez Suancha;2019 concejo;
Mary Luz Lopez;2019 concejo;Mary Luz Pinilla Lopez;2019 concejo;
Mauricio Pedraza Chaparro;2011 concejo;Mauricio Alexander Pedraza Chaparro;2015 concejo;
Mayerly Buitrago Sanchez;"2011 concejo; 2019 concejo; 2023 concejo";Yuli Mayerly Buitrago Sanchez;2019 concejo;
Miguel Gomez Martinez;2018 senado;Luis Miguel Gomez Martinez;2023 concejo;
Moises Moreno Moreno;"2011 concejo; 2019 concejo";Moises Alvaro Moreno Sandoval;2023 concejo;
Moises Zorro Camargo;2015 concejo;Moises Alfredo Zorro Camargo;2011 concejo;
Monica Corredor Corredor;2011 concejo;Monica Katherine Poveda Corredor;2023 concejo;
Movimiento  Salvación Nacional;"2023 asamblea; 2023 concejo; 2026 senado";Movimiento De Salvación Nacional;"2022 camara; 2022 senado";
Movimiento Mira;"2011 asamblea; 2011 concejo; 2014 camara; 2014 senado; 2015 concejo";Movimiento Independiente De Renovacion Absoluta  Mira;"2010 camara; 2010 senado; 2011 asamblea";
Myriam Martinez Martinez;2015 concejo;Myriam Ines Bejarano Martinez;2011 concejo;
Nancy Garay Torres;2015 concejo;Maria Nancy Garay Torres;"2011 concejo; 2015 concejo";
Nelly Moreno Moreno;2011 concejo;Nelly Yazmin Contreras Moreno;"2015 concejo; 2019 concejo; 2023 concejo";
Nelson Bello;2023 concejo;Nelson Augusto Rodriguez Bello;2023 concejo;
Nelson Javier Rodriguez;"2011 concejo; 2015 concejo";Nelson Javier Lopez Rodriguez;2026 senado;
Nelson Romero Gomez;"2019 concejo; 2023 concejo";Nelson David Romero Gomez;2023 concejo;
Nohora Torres;"2011 concejo; 2015 concejo";Nohora Torres La Rotta;2015 concejo;
Nubia Suarez Suarez;2019 concejo;Nubia Judith Barajas Suarez;"2019 concejo; 2023 concejo";
Omar Cuadrado Cubides;2015 concejo;Omar Alfredo Cuadrado Cubides;2011 concejo;
Oscar Aponte Aponte;2019 concejo;Oscar Hernando Parra Aponte;"2011 alcalde; 2019 alcalde";
PARTIDO CENTRO DEMOCRATICO;"2015 concejo; 2018 camara; 2018 senado; 2019 asamblea; 2019 concejo; 2019 jal; 2022 camara; 2022 senado; 2023 asamblea; 2023 concejo; 2023 jal; 2026 camara; 2026 senado";Partido Centro Democratico Mano Firme Corazon Grande;2015 asamblea;
PARTIDO COLOMBIA RENACIENTE;"2019 concejo; 2022 camara; 2023 concejo; 2023 jal";Partido Colombia Renaciente Y Partido Verde Oxigen O;2023 concejo;
PARTIDO CONSERVADOR COLOMBIANO;"2010 camara; 2010 senado; 2011 asamblea; 2011 concejo; 2014 camara; 2014 senado; 2015 asamblea; 2015 concejo; 2018 camara; 2018 senado; 2019 asamblea; 2019 concejo; 2019 jal; 2022 camara; 2022 senado; 2023 concejo; 2023 jal; 2026 senado";Partido Conservador Colombiano Y El Partido Asi;2023 asamblea;
Paloma Valencia Laserna;2026 presidencia_1v;PALOMA SUSANA VALENCIA LASERNA;"2014 senado; 2018 senado; 2022 senado; 2026 consultas";
Partido Político Dignidad;2022 camara;Partido Político Dignidad & Compromiso;"2023 concejo; 2026 camara";
Patricia Silva;"2011 concejo; 2015 concejo";Patricia Castano Silva;"2015 concejo; 2019 concejo";
Polo Democratico Alternativo;"2010 camara; 2010 senado; 2011 concejo; 2014 camara; 2014 senado; 2015 asamblea";PARTIDO POLO DEMOCRATICO ALTERNATIVO;"2015 concejo; 2018 camara; 2018 senado; 2019 concejo; 2019 jal; 2023 concejo";
ROSA MARIA BAEZ;"2019 jal; 2023 jal";Rosa Maria Baez Baez;"2011 concejo; 2019 concejo; 2023 concejo";
Raul Salamanca;2019 concejo;Jaime Raul Salamanca Torres;"2011 asamblea; 2015 asamblea; 2022 camara; 2026 camara";
Raul Suarez Suarez;"2015 concejo; 2019 concejo";Raul Hernando Vargas Suarez;2011 concejo;
Reinaldo Gomez Gomez;"2015 concejo; 2019 concejo";Edwin Reinaldo Gomez Hernandez;"2019 concejo; 2023 concejo";
Ricardo Molina;2022 senado;Jose Ricardo Gonzalez Molina;2023 concejo;
Roberto Mayorga Mayorga;"2015 concejo; 2018 camara; 2019 alcalde; 2026 senado";Henry Roberto Mayorga Pulido;"2015 concejo; 2019 concejo; 2023 concejo";
Robinson Gonzalez Gonzalez;2018 senado;Luis Robinson Riscanevo Gonzalez;2023 concejo;
Rosa Helena Rodriguez;2015 concejo;Rosa Helena Rodriguez Becerra;2022 senado;
SERGIO FAJARDO;2022 presidencia_1v;Sergio Fajardo Valderrama;"2018 presidencia_1v; 2026 presidencia_1v";
Sandra Milena Guerrero;2019 concejo;Sandra Milena Guerrero Ramos;2023 concejo;
Sandra Milena Riano;2015 concejo;Sandra Milena Vargas Riaño;2023 concejo;
Santana Malagon Gamba;2023 concejo;Santana Malagon De Gamba;"2011 concejo; 2015 concejo; 2019 concejo";
Silvestre Moreno;2019 alcalde;Jose Silvestre Moreno Ortega;2023 concejo;
William Solano Solano;2019 concejo;William Daniel Silva Solano;"2011 concejo; 2015 concejo";
Wilmer Alfonso Perez;2023 alcalde;Wilmer Alfonso Perez Gamba;"2015 concejo; 2019 concejo; 2023 concejo";
Wilson Alarcon;2015 concejo;Wilson Pedraza Alarcon;2011 concejo;
Wilson Reinel Regalado;2015 concejo;Wilson Reinel Reinel Regalado;2011 concejo;
Yadira Gonzalez;2019 concejo;Zulma Yadira Gonzalez Bernal;2015 concejo;
Yaneth Sisa Castro;2015 concejo;Nancy Yaneth Sisa Castro;2015 concejo;
Yesid Mahecha Mahecha;"2011 concejo; 2015 concejo; 2023 concejo";Cristian Yesid Mahecha Castañeda;2019 concejo;
Yohana Castañeda;2019 concejo;Elsy Yohana Castañeda Buitrago;2023 concejo;
