MUNNOMBRE;PARNOMBRE;VOTOS
NUEVO COLON;Partido Conservador Colombiano;435
NUEVO COLON;Partido Liberal Colombiano;993
NUEVO COLON;Partido PIN;86
NUEVO COLON;Partido de la U;512
OICATA;Alianza Verde;254
OICATA;Cambio Radical;346
OICATA;Partido Conservador Colombiano;330
OICATA;Partido Liberal Colombiano;313
OICATA;Partido PIN;26
OICATA;Partido de la U;409
OTANCHE;Alianza Social Independiente;677
OTANCHE;Alianza Verde;370
OTANCHE;Cambio Radical;421
OTANCHE;MOVIMIENTO POLITICO AFROVIDES;595
OTANCHE;Movimiento Politico Afrovides;23
OTANCHE;Partido Conservador Colombiano;846
OTANCHE;Partido PIN;157
OTANCHE;Partido de la U;763
PACHAVITA;Alianza Verde;330
PACHAVITA;Partido Conservador Colombiano;542
PACHAVITA;Partido PIN;195
PACHAVITA;Partido de la U;269
PAEZ;Alianza Verde;509
PAEZ;Cambio Radical;343
PAEZ;Partido de la U;565
PAIPA;Alianza Social Independiente;2322
PAIPA;Alianza Verde;3298
PAIPA;Cambio Radical;604
PAIPA;Movimiento MIRA;278
PAIPA;Partido Conservador Colombiano;2682
PAIPA;Partido Liberal Colombiano;2174
PAIPA;Partido de la U;2410
PAIPA;Polo Democrático Alternativo;773
PAJARITO;Alianza Verde;228
PAJARITO;Cambio Radical;272
PAJARITO;Partido Liberal Colombiano;148
PAJARITO;Partido de la U;504
PANQUEBA;Partido Conservador Colombiano;278
PANQUEBA;Partido Liberal Colombiano;186
PANQUEBA;Partido de la U;528
PAUNA;Alianza Social Independiente;215
PAUNA;Alianza Verde;376
PAUNA;Cambio Radical;747
PAUNA;Partido Conservador Colombiano;1396
PAUNA;Partido Liberal Colombiano;225
PAUNA;Partido PIN;204
PAUNA;Partido de la U;880
PAYA;Alianza Social Independiente;219
PAYA;Alianza Verde;299
PAYA;Cambio Radical;98
PAYA;MIO;158
PAYA;Partido Conservador Colombiano;158
PAZ DE RIO;Alianza Verde;860
PAZ DE RIO;Cambio Radical;624
PAZ DE RIO;Partido Conservador Colombiano;488
PAZ DE RIO;Partido Liberal Colombiano;705
PESCA;Alianza Social Independiente;572
PESCA;Alianza Verde;412
PESCA;Cambio Radical;465
PESCA;Partido Conservador Colombiano;650
PESCA;Partido Liberal Colombiano;297
PESCA;Partido PIN;755
PESCA;Partido de la U;655
PISBA;Alianza Social Independiente;190
PISBA;Alianza Verde;299
PISBA;Partido Conservador Colombiano;168
PISBA;Polo Democrático Alternativo;38
PUERTO BOYACA;Alianza Social Independiente;1717
PUERTO BOYACA;Alianza Verde;1733
PUERTO BOYACA;Cambio Radical;945
PUERTO BOYACA;Candidata Retirada;72
PUERTO BOYACA;MIO;1144
PUERTO BOYACA;MOVIMIENTO POLITICO AFROVIDES;1701
PUERTO BOYACA;Movimiento MIRA;296
PUERTO BOYACA;Movimiento Politico Afrovides;237
PUERTO BOYACA;Partido Conservador Colombiano;1175
PUERTO BOYACA;Partido Liberal Colombiano;2907
PUERTO BOYACA;Partido PIN;1410
PUERTO BOYACA;Partido de la U;3528
PUERTO BOYACA;Polo Democrático Alternativo;158
QUIPAMA;Alianza Verde;915
QUIPAMA;Cambio Radical;351
QUIPAMA;Partido Conservador Colombiano;308
QUIPAMA;Partido Liberal Colombiano;520
QUIPAMA;Partido de la U;666
RAMIRIQUI;Cambio Radical;1085
RAMIRIQUI;Movimiento MIRA;109
RAMIRIQUI;Partido Conservador Colombiano;1075
RAMIRIQUI;Partido Liberal Colombiano;1522
RAMIRIQUI;Partido de la U;1340
RAQUIRA;Alianza Verde;577
RAQUIRA;Cambio Radical;938
RAQUIRA;Partido Conservador Colombiano;526
RAQUIRA;Partido Liberal Colombiano;594
RAQUIRA;Partido de la U;462
RONDON;Cambio Radical;434
RONDON;Partido Conservador Colombiano;433
RONDON;Partido de la U;784
SABOYA;Alianza Verde;1748
SABOYA;Movimiento MIRA;140
SABOYA;Partido Conservador Colombiano;2391
SABOYA;Partido Liberal Colombiano;1154
SABOYA;Partido de la U;838
SACHICA;Alianza Social Independiente;171
