MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
CAMPOHERMOSO;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;3,CAMPOHERMOSO;Promotores Voto En Blanco;Promotores Voto En Blanco;3,0.0,0.0
CAMPOHERMOSO;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;130,CAMPOHERMOSO;Sergio Fajardo Valderrama;Colombia Humana;130,0.0,0.0
CAMPOHERMOSO;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;3,CAMPOHERMOSO;Viviane Aleida Morales Hoyos;Cambio Radical;3,0.0,0.0
CERINZA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;112,CERINZA;German Vargas Lleras;Centro Democrático;112,0.0,0.0
CERINZA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;710,CERINZA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;710,0.0,0.0
CERINZA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;30,CERINZA;Humberto De La Calle Lombana;Partido de la U;30,0.0,0.0
CERINZA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;801,CERINZA;Ivan Duque Marquez;Centro Democrático;801,0.0,0.0
CERINZA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;9,CERINZA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;9,0.0,0.0
CERINZA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;3,CERINZA;Promotores Voto En Blanco;Promotores Voto En Blanco;3,0.0,0.0
CERINZA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;416,CERINZA;Sergio Fajardo Valderrama;Colombia Humana;416,0.0,0.0
CERINZA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;4,CERINZA;Viviane Aleida Morales Hoyos;Cambio Radical;4,0.0,0.0
CHINAVITA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;97,CHINAVITA;German Vargas Lleras;Centro Democrático;97,0.0,0.0
CHINAVITA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;171,CHINAVITA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;171,0.0,0.0
CHINAVITA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;9,CHINAVITA;Humberto De La Calle Lombana;Partido de la U;9,0.0,0.0
CHINAVITA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1015,CHINAVITA;Ivan Duque Marquez;Centro Democrático;1015,0.0,0.0
CHINAVITA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;2,CHINAVITA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;2,0.0,0.0
CHINAVITA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;1,CHINAVITA;Promotores Voto En Blanco;Promotores Voto En Blanco;1,0.0,0.0
CHINAVITA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;238,CHINAVITA;Sergio Fajardo Valderrama;Colombia Humana;238,0.0,0.0
CHIQUINQUIRA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;1577,CHIQUINQUIRA;German Vargas Lleras;Centro Democrático;1577,0.0,0.0
CHIQUINQUIRA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;4805,CHIQUINQUIRA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;4805,0.0,0.0
CHIQUINQUIRA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;317,CHIQUINQUIRA;Humberto De La Calle Lombana;Partido de la U;317,0.0,0.0
CHIQUINQUIRA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;9545,CHIQUINQUIRA;Ivan Duque Marquez;Centro Democrático;9545,0.0,0.0
CHIQUINQUIRA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;61,CHIQUINQUIRA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;61,0.0,0.0
CHIQUINQUIRA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;29,CHIQUINQUIRA;Promotores Voto En Blanco;Promotores Voto En Blanco;29,0.0,0.0
CHIQUINQUIRA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;7528,CHIQUINQUIRA;Sergio Fajardo Valderrama;Colombia Humana;7528,0.0,0.0
CHIQUINQUIRA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;36,CHIQUINQUIRA;Viviane Aleida Morales Hoyos;Cambio Radical;36,0.0,0.0
CHIQUIZA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;104,CHIQUIZA;German Vargas Lleras;Centro Democrático;104,0.0,0.0
CHIQUIZA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;705,CHIQUIZA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;705,0.0,0.0
CHIQUIZA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;66,CHIQUIZA;Humberto De La Calle Lombana;Partido de la U;66,0.0,0.0
CHIQUIZA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;342,CHIQUIZA;Ivan Duque Marquez;Centro Democrático;342,0.0,0.0
CHIQUIZA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;5,CHIQUIZA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;5,0.0,0.0
CHIQUIZA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;8,CHIQUIZA;Promotores Voto En Blanco;Promotores Voto En Blanco;8,0.0,0.0
CHIQUIZA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;167,CHIQUIZA;Sergio Fajardo Valderrama;Colombia Humana;167,0.0,0.0
CHIQUIZA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;5,CHIQUIZA;Viviane Aleida Morales Hoyos;Cambio Radical;5,0.0,0.0
CHISCAS;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;84,CHISCAS;German Vargas Lleras;Centro Democrático;84,0.0,0.0
CHISCAS;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;126,CHISCAS;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;126,0.0,0.0
CHISCAS;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;30,CHISCAS;Humberto De La Calle Lombana;Partido de la U;30,0.0,0.0
CHISCAS;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1311,CHISCAS;Ivan Duque Marquez;Centro Democrático;1311,0.0,0.0
CHISCAS;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;2,CHISCAS;Jorge Antonio Trujillo Sarmiento;Cambio Radical;2,0.0,0.0
