MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;LUIS GUSTAVO BUITRAGO BARRETO;NUEVA FUERZA DEMOCRATICA;49,ALMEIDA;LUIS GUSTAVO BUITRAGO BARRETO;NUEVA FUERZA DEMOCRÁTICA;49,0.0,0.0
ALMEIDA;LUZ AMANDA CASTANEDA;PARTIDO CONSERVADOR COLOMBIANO;30,ALMEIDA;LUZ AMANDA CASTAÑEDA;PARTIDO CONSERVADOR COLOMBIANO;30,0.0,0.0
ALMEIDA;LUZ AURORA SALINAS VACA;PARTIDO ALIANZA VERDE;18,ALMEIDA;LUZ AURORA SALINAS VACA;PARTIDO ALIANZA VERDE;18,0.0,0.0
ALMEIDA;MARIA INES VARGAS VARGAS;NUEVA FUERZA DEMOCRATICA;4,ALMEIDA;MARIA INES VARGAS VARGAS;NUEVA FUERZA DEMOCRÁTICA;4,0.0,0.0
"ALMEIDA;MARYE LORENA MONTENEGRO ROMERO;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";10","ALMEIDA;MARYE LORENA MONTENEGRO ROMERO;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";10",0.0,0.0
ALMEIDA;MIYER YOANY SANCHEZ ABRIL;PARTIDO CAMBIO RADICAL;10,ALMEIDA;MIYER YOANY SANCHEZ ABRIL;PARTIDO CAMBIO RADICAL;10,0.0,0.0
ALMEIDA;MONICA PIEDAD DIAZ DAZA;PARTIDO CAMBIO RADICAL;66,ALMEIDA;MONICA PIEDAD DIAZ DAZA;PARTIDO CAMBIO RADICAL;66,0.0,0.0
ALMEIDA;NUBIA MILENA ROMERO BOHORQUEZ;PARTIDO LIBERAL COLOMBIANO;10,ALMEIDA;NUBIA MILENA ROMERO BOHORQUEZ;PARTIDO LIBERAL COLOMBIANO;10,0.0,0.0
ALMEIDA;NUEVA FUERZA DEMOCRATICA;NUEVA FUERZA DEMOCRATICA;10,ALMEIDA;NUEVA FUERZA DEMOCRÁTICA;NUEVA FUERZA DEMOCRÁTICA;10,0.0,0.0
ALMEIDA;ORFA LORENZA DIAZ PERILLA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;25,ALMEIDA;ORFA LORENZA DIAZ PERILLA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;25,0.0,0.0
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;17,ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;17,0.0,0.0
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;4,ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;4,0.0,0.0
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;5,ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;PARTIDO CENTRO DEMOCRÁTICO;5,0.0,0.0
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;11,ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;11,0.0,0.0
ALMEIDA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;3,ALMEIDA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;3,0.0,0.0
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;2,ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
ALMEIDA;PAULA SOFIA VON WALTER ABIRAMA;PARTIDO LIBERAL COLOMBIANO;3,ALMEIDA;PAULA SOFIA VON WALTER ABIRAMA;PARTIDO LIBERAL COLOMBIANO;3,0.0,0.0
ALMEIDA;RAFAEL ANTONIO BARRETO CALDERON;PARTIDO CAMBIO RADICAL;17,ALMEIDA;RAFAEL ANTONIO BARRETO CALDERON;PARTIDO CAMBIO RADICAL;17,0.0,0.0
ALMEIDA;SONIA YOLIMA CALDERON DAZA;NUEVA FUERZA DEMOCRATICA;29,ALMEIDA;SONIA YOLIMA CALDERON DAZA;NUEVA FUERZA DEMOCRÁTICA;29,0.0,0.0
ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;19,ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;19,0.0,0.0
ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;94,ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;94,0.0,0.0
ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;22,ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;22,0.0,0.0
ALMEIDA;WILLINTONG RAFAEL RUIZ FRANCO;PARTIDO CAMBIO RADICAL;32,ALMEIDA;WILLINTONG RAFAEL RUIZ FRANCO;PARTIDO CAMBIO RADICAL;32,0.0,0.0
ALMEIDA;YAN ESTER LESMES SANCHEZ;PARTIDO ALIANZA VERDE;60,ALMEIDA;YAN ESTER LESMES SANCHEZ;PARTIDO ALIANZA VERDE;60,0.0,0.0
ALMEIDA;YOMAIRA MONROY LOPEZ;PARTIDO ALIANZA VERDE;37,ALMEIDA;YOMAIRA MONROY LOPEZ;PARTIDO ALIANZA VERDE;37,0.0,0.0
ALMEIDA;YUDY YOLANDA DAZA DAZA;NUEVA FUERZA DEMOCRATICA;15,ALMEIDA;YUDY YOLANDA DAZA DAZA;NUEVA FUERZA DEMOCRÁTICA;15,0.0,0.0
ALMEIDA;ZORAIDA LICETH AREVALO AVILA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;4,ALMEIDA;ZORAIDA LICETH AREVALO AVILA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;4,0.0,0.0
"AQUITANIA (PUEBLOVIEJO);""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";25","AQUITANIA (PUEBLOVIEJO);""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";25",0.0,0.0
"AQUITANIA (PUEBLOVIEJO);""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";27","AQUITANIA (PUEBLOVIEJO);""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";27",0.0,0.0
AQUITANIA (PUEBLOVIEJO);ADRIANA MARCELA BERNAL CHAPARRO;PARTIDO POLITICO DIGNIDAD & COMPROMISO;7,AQUITANIA (PUEBLOVIEJO);ADRIANA MARCELA BERNAL CHAPARRO;PARTIDO POLÍTICO DIGNIDAD & COMPROMISO;7,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ALBA VICTORIA GUTIERREZ RIVEROS;PARTIDO CENTRO DEMOCRATICO;3,AQUITANIA (PUEBLOVIEJO);ALBA VICTORIA GUTIERREZ RIVEROS;PARTIDO CENTRO DEMOCRÁTICO;3,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ALBEIRO ARMANDO CEPEDA CEPEDA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;138,AQUITANIA (PUEBLOVIEJO);ALBEIRO ARMANDO CEPEDA CEPEDA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;138,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ANDRES CAMILO CUBIDES ROJAS;PARTIDO CONSERVADOR COLOMBIANO;63,AQUITANIA (PUEBLOVIEJO);ANDRES CAMILO CUBIDES ROJAS;PARTIDO CONSERVADOR COLOMBIANO;63,0.0,0.0
