MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
AQUITANIA;PARADA PRIETO LUIS OSWALDO;PARTIDO CENTRO DEMOCRATICO;62
AQUITANIA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;55
AQUITANIA;LONDONO ULLOA JORGE EDUARDO;PARTIDO ALIANZA VERDE;54
AQUITANIA;ORTIZ NOVA SANDRA LILIANA;PARTIDO ALIANZA VERDE;51
AQUITANIA;VOTOS EN BLANCO INDIGENAS;;50
AQUITANIA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;PARTIDO ALIANZA VERDE;43
AQUITANIA;GUERRERO LOPEZ HAROLD;PARTIDO CAMBIO RADICAL;42
AQUITANIA;GSC UNION CON FORTALEZA;GSC UNION CON FORTALEZA;39
AQUITANIA;MARTINEZ LADINO SEBASTIAN;PARTIDO POLITICO MIRA;39
AQUITANIA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;31
AQUITANIA;NINO AVENDANO SEGUNDO SENEN;PARTIDO POLO DEMOCRATICO ALTERNATIVO;28
AQUITANIA;GSC COLOMBIA JUSTA LIBRES;GSC COLOMBIA JUSTA LIBRES;27
AQUITANIA;MERCHAN RAMOS FERNANDO;PARTIDO ALIANZA VERDE;26
AQUITANIA;ROBLEDO CASTILLO JORGE ENRIQUE;PARTIDO POLO DEMOCRATICO ALTERNATIVO;25
AQUITANIA;ROJAS ABAUNZA LUZ MARGOTH;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;25
AQUITANIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;24
AQUITANIA;LOPEZ PENA JOSE RITTER;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;23
AQUITANIA;ZABARAIN GUEVARA ANTONIO LUIS;PARTIDO CAMBIO RADICAL;23
AQUITANIA;SIERRA RAMIREZ REINALDO DE JESUS;PARTIDO CAMBIO RADICAL;19
AQUITANIA;TOVAR MARROQUIN HUGO;PARTIDO CONSERVADOR COLOMBIANO;18
AQUITANIA;GARCIA BURGOS NORA MARIA;PARTIDO CONSERVADOR COLOMBIANO;17
AQUITANIA;OSORIO AGUIAR CARLOS EDWARD;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;17
AQUITANIA;ORTIZ WILCHES FABIAN ARTURO;PARTIDO LIBERAL COLOMBIANO;16
AQUITANIA;GOMEZ MARTINEZ MIGUEL;PARTIDO CONSERVADOR COLOMBIANO;15
AQUITANIA;TAMAYO TAMAYO SOLEDAD;PARTIDO CONSERVADOR COLOMBIANO;15
AQUITANIA;BARRERAS MONTEALEGRE ROY LEONARDO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;13
AQUITANIA;PARRA GARAY MANFRI;PARTIDO POLO DEMOCRATICO ALTERNATIVO;13
AQUITANIA;PENAGOS GIRALDO HERNAN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;13
AQUITANIA;BOLIVAR MORENO GUSTAVO;"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";11
AQUITANIA;PALACIO TAMAYO OSCAR IVAN;PARTIDO CONSERVADOR COLOMBIANO;11
AQUITANIA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;11
AQUITANIA;RODRIGUEZ MONTENEGRO JOSE ANTONIO;PARTIDO CAMBIO RADICAL;11
AQUITANIA;GOMEZ AMIN MAURICIO;PARTIDO LIBERAL COLOMBIANO;10
AQUITANIA;PARTIDO SOMOS;PARTIDO SOMOS;10
AQUITANIA;GOMEZ JIMENEZ JUAN DIEGO;PARTIDO CONSERVADOR COLOMBIANO;9
AQUITANIA;CEPEDA SARABIA EFRAIN JOSE;PARTIDO CONSERVADOR COLOMBIANO;8
AQUITANIA;PARTIDO POLITICO MIRA;PARTIDO POLITICO MIRA;8
AQUITANIA;VALENCIA GONZALEZ SANTIAGO;PARTIDO CENTRO DEMOCRATICO;8
AQUITANIA;VARON COTRINO GERMAN;PARTIDO CAMBIO RADICAL;8
AQUITANIA;AVELLA ESQUIVEL AIDA YOLANDA;"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";7
AQUITANIA;BURBANO ORTIZ ARGEMIRO;PARTIDO ALIANZA VERDE;7
AQUITANIA;"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";7
AQUITANIA;GUERRA DE LA ESPRIELLA ANTONIO DEL CRISTO;PARTIDO CAMBIO RADICAL;7
AQUITANIA;ISAZA RODRIGUEZ CARLOS HUMBERTO;PARTIDO LIBERAL COLOMBIANO;7
AQUITANIA;LARA RESTREPO RODRIGO;PARTIDO CAMBIO RADICAL;7
AQUITANIA;MARTINEZ ROSALES ROSMERY;PARTIDO CAMBIO RADICAL;7
AQUITANIA;MERHEG MARUN JUAN SAMY;PARTIDO CONSERVADOR COLOMBIANO;7
AQUITANIA;NAME VASQUEZ IVAN LEONIDAS;PARTIDO ALIANZA VERDE;7
AQUITANIA;PEREZ FREDY HERNAN;PARTIDO CAMBIO RADICAL;7
AQUITANIA;VEGA BUITRAGO JEFFERSON;PARTIDO CONSERVADOR COLOMBIANO;7
AQUITANIA;VELASQUEZ NIETO OLGA LUCIA;PARTIDO LIBERAL COLOMBIANO;7
AQUITANIA;AGUILAR VILLA RICHARD ALFONSO;PARTIDO CAMBIO RADICAL;6
AQUITANIA;MACIAS TOVAR ERNESTO;PARTIDO CENTRO DEMOCRATICO;6
AQUITANIA;SANTAMARIA URIBE JOSE MIGUEL;PARTIDO CENTRO DEMOCRATICO;6
AQUITANIA;ARAUJO RUMIE FERNANDO NICOLAS;PARTIDO CENTRO DEMOCRATICO;5
AQUITANIA;BARGUIL ASSIS DAVID ALEJANDRO;PARTIDO CONSERVADOR COLOMBIANO;5
AQUITANIA;BOHORQUEZ DE PINILLOS ANA DELTRUDIS;PARTIDO CAMBIO RADICAL;5
AQUITANIA;CABRERA BAEZ ANGEL CUSTODIO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;5
AQUITANIA;ESCALLON SALGAR JULIA ISABEL;PARTIDO CENTRO DEMOCRATICO;5
AQUITANIA;GOMEZ BACCI FERNANDO ANDRES;PARTIDO OPCION CIUDADANA;5
AQUITANIA;HOLGUIN MORENO PAOLA ANDREA;PARTIDO CENTRO DEMOCRATICO;5
AQUITANIA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;5
AQUITANIA;"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";5
AQUITANIA;PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMU;PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMU;5
AQUITANIA;URIBE TABARES JOSE ERNESTO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;5
AQUITANIA;BUSTAMANTE GARCIA EVERTH;PARTIDO CENTRO DEMOCRATICO;4
AQUITANIA;CASTANO PINEDA ELIAS ROMAN;"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";4
AQUITANIA;FORTICH SANCHEZ LAURA ESTER;PARTIDO LIBERAL COLOMBIANO;4
AQUITANIA;GOMEZ GOMEZ LIGIO;PARTIDO OPCION CIUDADANA;4
AQUITANIA;LEMAITRE SOLEIMAN ALFONSO RAFAEL;PARTIDO CAMBIO RADICAL;4
AQUITANIA;MANTILLA MORENO JUAN FRANCISCO;PARTIDO CAMBIO RADICAL;4
AQUITANIA;NAME CARDOZO JOSE DAVID;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;4
AQUITANIA;OSPINA QUINTERO OSCAR;PARTIDO ALIANZA VERDE;4
AQUITANIA;POLO NARVAEZ JOSE AULO;PARTIDO ALIANZA VERDE;4
AQUITANIA;PRIETO RIVEROS JORGE ELIESER;PARTIDO ALIANZA VERDE;4
AQUITANIA;ROMERO BOLIVAR MIGUEL ALBERTO;PARTIDO CAMBIO RADICAL;4
AQUITANIA;TOVAR REY NOHORA STELLA;PARTIDO CENTRO DEMOCRATICO;4
AQUITANIA;AMAYA ARIAS RAQUEL SOFIA;PARTIDO ALIANZA VERDE;3
AQUITANIA;AMIN ESCAF MIGUEL;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;3
AQUITANIA;AMIN HERNANDEZ JAIME ALEJANDRO;PARTIDO CENTRO DEMOCRATICO;3
AQUITANIA;ANDRADE DE OSSO ESPERANZA;PARTIDO CONSERVADOR COLOMBIANO;3
AQUITANIA;ARIAS CASTILLO WILSON NEBER;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3
AQUITANIA;CARDOZO MONTANA LUIS FRANCISCO;PARTIDO CONSERVADOR COLOMBIANO;3
AQUITANIA;ESPINDOLA NINO EDGAR;PARTIDO OPCION CIUDADANA;3
AQUITANIA;GALVIS MENDEZ DAIRA DE JESUS;PARTIDO CAMBIO RADICAL;3
AQUITANIA;GERLEIN ECHEVERRIA ROBERTO VICTOR;PARTIDO CONSERVADOR COLOMBIANO;3
AQUITANIA;GOMEZ PENALOZA JENIFFER ALEXANDRA;PARTIDO CAMBIO RADICAL;3
AQUITANIA;GONZALEZ ANGULO EDUARDO JOSE;PARTIDO CENTRO DEMOCRATICO;3
AQUITANIA;LOMBANA GONZALEZ BLANCA YULIMA;PARTIDO ALIANZA VERDE;3
AQUITANIA;MARULANDA GOMEZ LUIS IVAN;PARTIDO ALIANZA VERDE;3
AQUITANIA;MOSQUERA MONTOYA FRANKLIN ORLANDO;PARTIDO CENTRO DEMOCRATICO;3
AQUITANIA;PACHON ATUESTA GARYN RICARDO;"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";3
AQUITANIA;PALACIOS NINO YASMIN LICED;PARTIDO OPCION CIUDADANA;3
AQUITANIA;PINTO HERNANDEZ MIGUEL ANGEL;PARTIDO LIBERAL COLOMBIANO;3
AQUITANIA;VALENCIA MEDINA FELICIANO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;3
AQUITANIA;VALENZUELA BUITRAGO PATRICIA;PARTIDO ALIANZA VERDE;3
AQUITANIA;VELASCO OCAMPO GABRIEL JAIME;PARTIDO CENTRO DEMOCRATICO;3
AQUITANIA;ABELLO RESTREPO ANA MARIA;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;AGUDELO CHAMUCERO CARLOS GUILLERMO;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;AGUDELO GARCIA ANA PAOLA;PARTIDO POLITICO MIRA;2
AQUITANIA;AHUMADA BARRAZA BLAS ALBERTO;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;ALZATE ZAPATA ANGELA MARIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2
AQUITANIA;ANGULO CAICEDO HECTOR MARINO;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;ARBELAEZ HOYOS JORGE EDUARDO;PARTIDO ALIANZA VERDE;2
AQUITANIA;ARISTIZABAL RAMIREZ MARIA NORA;PARTIDO POLITICO MIRA;2
AQUITANIA;AYALA CARDENAS ECCEHOMO;PARTIDO CAMBIO RADICAL;2
AQUITANIA;BARON NEIRA LEON RIGOBERTO;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;BARRERO CUERVO ZAIDA DEL CARMEN;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;BUSTAMANTE CEBALLOS CLAUDIA MARIA;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;CABAL MOLINA MARIA FERNANDA;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;CASADO DE LOPEZ ARLETH PATRICIA;PARTIDO LIBERAL COLOMBIANO;2
AQUITANIA;CEPEDA CASTRO IVAN;PARTIDO POLO DEMOCRATICO ALTERNATIVO;2
AQUITANIA;CHAR CHALJUB ARTURO;PARTIDO CAMBIO RADICAL;2
AQUITANIA;CORTES DELGADO JOSE LEOMAR;PARTIDO CAMBIO RADICAL;2
AQUITANIA;GARCIA REALPE GUILLERMO;PARTIDO LIBERAL COLOMBIANO;2
AQUITANIA;GSC SI SE PUEDE;GSC SI SE PUEDE;2
AQUITANIA;GUERRA DE LA ESPRIELLA MARIA DEL ROSARIO;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;HERRERA AGUIRRE JOSE ADOLFO;PARTIDO CAMBIO RADICAL;2
AQUITANIA;JIMENEZ LOPEZ CARLOS ABRAHAM;PARTIDO CAMBIO RADICAL;2
AQUITANIA;LOPEZ CASTANEDA HECTOR AUGUSTO;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;MATUS ALVARADO MIGUEL ALBERTO;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;MEJIA LOZANO DANIEL FERNANDO;PARTIDO OPCION CIUDADANA;2
AQUITANIA;NARANJO GRISALES JORGE IVAN;PARTIDO CAMBIO RADICAL;2
AQUITANIA;NUNEZ GUEVARA JONATHAN GILDARDO;PARTIDO CAMBIO RADICAL;2
AQUITANIA;ORTIZ FLOREZ GLADYS HELENA;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;PARTIDO OPCION CIUDADANA;PARTIDO OPCION CIUDADANA;2
AQUITANIA;PLAZAS VEGA LUIS ALFONSO;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;QUINTANA VELASQUEZ ROSA AMPARO;PARTIDO LIBERAL COLOMBIANO;2
AQUITANIA;RAVE HERNANDEZ AKEMI SOFIA;PARTIDO ALIANZA VERDE;2
AQUITANIA;RODRIGUEZ DELGADO JAIRO ROBERTO;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;RODRIGUEZ SEGURA DIEGO EDIXON KARACHAS;"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";2
AQUITANIA;ROMERO SOTO MILLA PATRICIA;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;SANGUINO PAEZ ANTONIO ERESMID;PARTIDO ALIANZA VERDE;2
AQUITANIA;VELEZ DUQUE ADRIANA PATRICIA;PARTIDO CAMBIO RADICAL;2
AQUITANIA;VIAFARA BERTHALY;PARTIDO CAMBIO RADICAL;2
AQUITANIA;VILLADIEGO VILLADIEGO SANDRA ELENA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2
AQUITANIA;VILLEGAS GIRALDO CARLOS IVAN;PARTIDO CONSERVADOR COLOMBIANO;2
AQUITANIA;VIRGUEZ PIRAQUIVE MANUEL ANTONIO;PARTIDO POLITICO MIRA;2
AQUITANIA;ZULUAGA HENAO MARIA REGINA;PARTIDO CENTRO DEMOCRATICO;2
AQUITANIA;ACUNA DIAZ LAUREANO AUGUSTO;PARTIDO CONSERVADOR COLOMBIANO;1
AQUITANIA;ALMAZO ACOSTA ANTONIO MARTIN;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;1
AQUITANIA;AMUD MARTINEZ JUAN BAUTISTA;PARTIDO ALIANZA VERDE;1
AQUITANIA;ANDRADE CASAMA LUIS EVELIS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;1
AQUITANIA;APARICIO SIERRA EDWIN ELIAS;PARTIDO ALIANZA VERDE;1
AQUITANIA;ARANGO VELEZ JUAN MANUEL;PARTIDO CAMBIO RADICAL;1
AQUITANIA;ARAUJO CASTRO SERGIO RAFAEL;PARTIDO CENTRO DEMOCRATICO;1
AQUITANIA;ARINO FERNANDEZ FELIX BIENVENIDO;PARTIDO CAMBIO RADICAL;1
AQUITANIA;AYARA DONPOPO;PARTIDO CAMBIO RADICAL;1
AQUITANIA;BARON ALARCON LILI;PARTIDO ALIANZA VERDE;1
AQUITANIA;BARRERA LOPEZ MARLENY;PARTIDO ALIANZA VERDE;1
