MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;SANDRO NESTOR CONDIA PEREZ;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;SANDRO NESTOR CONDIA PEREZ;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;WILDER IVAN SUESCA OCHOA;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;WILDER IVAN SUESCA OCHOA;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;WILLIAM DONATO GOMEZ;PARTIDO CENTRO DEMOCRATICO;13,ALMEIDA;WILLIAM DONATO GOMEZ;PARTIDO CENTRO DEMOCRÁTICO;13,0.0,0.0
ALMEIDA;WILLIAM FERNANDO GRANADOS;PARTIDO NUEVO LIBERALISMO;1,ALMEIDA;WILLIAM FERNANDO GRANADOS;PARTIDO NUEVO LIBERALISMO;1,0.0,0.0
ALMEIDA;WILMER YAIR CASTELLANOS HERNANDEZ;PARTIDO ALIANZA VERDE;94,ALMEIDA;WILMER YAIR CASTELLANOS HERNANDEZ;PARTIDO ALIANZA VERDE;94,0.0,0.0
ALMEIDA;WILSON CASTIBLANCO GIL;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;WILSON CASTIBLANCO GIL;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTORICO;34,AQUITANIA (PUEBLOVIEJO);CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTÓRICO;34,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;42,AQUITANIA (PUEBLOVIEJO);CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;42,0.0,0.0
AQUITANIA (PUEBLOVIEJO);CLAUDIA BEATRIZ DUARTE ACOSTA;PARTIDO NUEVO LIBERALISMO;3,AQUITANIA (PUEBLOVIEJO);CLAUDIA BEATRIZ DUARTE ACOSTA;PARTIDO NUEVO LIBERALISMO;3,0.0,0.0
AQUITANIA (PUEBLOVIEJO);COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;8,Colombia Justa Libres,0.0,0.0
