MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
DUITAMA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;356,DUITAMA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;356,0.0,0.0
DUITAMA;PATRICIA PELAEZ ROBAYO;PARTIDO ALIANZA VERDE;519,DUITAMA;PATRICIA PELAEZ ROBAYO;PARTIDO ALIANZA VERDE;519,0.0,0.0
DUITAMA;PLINIO JIMENEZ CUBIDES;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;183,DUITAMA;PLINIO JIMENEZ CUBIDES;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;183,0.0,0.0
DUITAMA;ROSA MARIA BAEZ;PARTIDO CAMBIO RADICAL;187,DUITAMA;ROSA MARIA BAEZ;PARTIDO CAMBIO RADICAL;187,0.0,0.0
DUITAMA;SANDRA PATRICIA ALARCON VILLAR;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;42,DUITAMA;SANDRA PATRICIA ALARCON VILLAR;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;42,0.0,0.0
DUITAMA;SANTIAGO PEREZ SISA;PARTIDO CAMBIO RADICAL;431,DUITAMA;SANTIAGO PEREZ SISA;PARTIDO CAMBIO RADICAL;431,0.0,0.0
DUITAMA;SAUL ELIAS ALARCON CARDOZO;PARTIDO CAMBIO RADICAL;96,DUITAMA;SAUL ELIAS ALARCON CARDOZO;PARTIDO CAMBIO RADICAL;96,0.0,0.0
DUITAMA;VERONICA TORRES DE TORRES;PARTIDO CAMBIO RADICAL;21,DUITAMA;VERONICA TORRES DE TORRES;PARTIDO CAMBIO RADICAL;21,0.0,0.0
DUITAMA;VICTOR ALFONSO ALARCON CEPEDA;PARTIDO CAMBIO RADICAL;67,DUITAMA;VICTOR ALFONSO ALARCON CEPEDA;PARTIDO CAMBIO RADICAL;67,0.0,0.0
DUITAMA;VIVIANA ANDREA CASTRO BECERRA;PARTIDO CAMBIO RADICAL;22,DUITAMA;VIVIANA ANDREA CASTRO BECERRA;PARTIDO CAMBIO RADICAL;22,0.0,0.0
DUITAMA;WILLIAM ERNESTO AYALA AYALA;PARTIDO CAMBIO RADICAL;310,DUITAMA;WILLIAM ERNESTO AYALA AYALA;PARTIDO CAMBIO RADICAL;310,0.0,0.0
DUITAMA;YEIMMY KATHERINE RODRIGUEZ;PARTIDO CAMBIO RADICAL;65,DUITAMA;YEIMMY KATHERINE RODRIGUEZ;PARTIDO CAMBIO RADICAL;65,0.0,0.0
DUITAMA;YONATHAN MANUEL BECERRA GONZALEZ;PARTIDO ALIANZA VERDE;298,DUITAMA;YONATHAN MANUEL BECERRA GONZALEZ;PARTIDO ALIANZA VERDE;298,0.0,0.0
DUITAMA;YUDY ANDREA ZAMBRANO ARDILA;PARTIDO CAMBIO RADICAL;85,DUITAMA;YUDY ANDREA ZAMBRANO ARDILA;PARTIDO CAMBIO RADICAL;85,0.0,0.0
DUITAMA;YURGEN DIAZ CELYS;PARTIDO ALIANZA VERDE;643,DUITAMA;YURGEN DIAZ CELYS;PARTIDO ALIANZA VERDE;643,0.0,0.0
PAIPA;BERNARDO ANTONIO NINO BENAVIDES;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;10,PAIPA;BERNARDO ANTONIO NIÑO BENAVIDES;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;10,0.0,0.0
