MUNNOMBRE;PARNOMBRE;VOTOS
MONGUA;GRAN ALIANZA POR BOYACA;1674
MONGUA;JUNTOS #ESMOMENTO;1365
MONGUA;MAIS;32
MONGUI;Colombia Renaciente;32
MONGUI;GRAN ALIANZA POR BOYACA;1690
MONGUI;JUNTOS #ESMOMENTO;978
MONGUI;MAIS;199
MONIQUIRA;Colombia Renaciente;143
MONIQUIRA;GRAN ALIANZA POR BOYACA;7248
MONIQUIRA;JUNTOS #ESMOMENTO;1837
MONIQUIRA;MAIS;1156
MOTAVITA;Colombia Renaciente;167
MOTAVITA;GRAN ALIANZA POR BOYACA;2950
MOTAVITA;JUNTOS #ESMOMENTO;563
MOTAVITA;MAIS;363
MUZO;Colombia Renaciente;16
MUZO;GRAN ALIANZA POR BOYACA;1370
MUZO;JUNTOS #ESMOMENTO;2975
MUZO;MAIS;204
NOBSA;Colombia Renaciente;120
NOBSA;GRAN ALIANZA POR BOYACA;8738
NOBSA;JUNTOS #ESMOMENTO;774
NOBSA;MAIS;150
NUEVO COLON;Colombia Renaciente;31
NUEVO COLON;GRAN ALIANZA POR BOYACA;2576
NUEVO COLON;JUNTOS #ESMOMENTO;684
NUEVO COLON;MAIS;68
OICATA;Colombia Renaciente;155
OICATA;GRAN ALIANZA POR BOYACA;1198
OICATA;JUNTOS #ESMOMENTO;621
OICATA;MAIS;87
OTANCHE;Colombia Renaciente;13
OTANCHE;GRAN ALIANZA POR BOYACA;616
OTANCHE;JUNTOS #ESMOMENTO;3544
OTANCHE;MAIS;43
PACHAVITA;Colombia Renaciente;4
PACHAVITA;GRAN ALIANZA POR BOYACA;1028
PACHAVITA;JUNTOS #ESMOMENTO;389
PACHAVITA;MAIS;16
PAEZ;Colombia Renaciente;9
PAEZ;GRAN ALIANZA POR BOYACA;1376
PAEZ;JUNTOS #ESMOMENTO;515
PAEZ;MAIS;38
PAIPA;Colombia Renaciente;696
PAIPA;GRAN ALIANZA POR BOYACA;10880
PAIPA;JUNTOS #ESMOMENTO;5502
PAIPA;MAIS;763
PAJARITO;Colombia Renaciente;42
PAJARITO;GRAN ALIANZA POR BOYACA;842
PAJARITO;JUNTOS #ESMOMENTO;205
PAJARITO;MAIS;29
PANQUEBA;Colombia Renaciente;11
PANQUEBA;GRAN ALIANZA POR BOYACA;684
PANQUEBA;JUNTOS #ESMOMENTO;392
PANQUEBA;MAIS;41
PAUNA;Colombia Renaciente;23
PAUNA;GRAN ALIANZA POR BOYACA;1874
PAUNA;JUNTOS #ESMOMENTO;2417
PAUNA;MAIS;27
PAYA;Colombia Renaciente;4
PAYA;GRAN ALIANZA POR BOYACA;798
PAYA;JUNTOS #ESMOMENTO;407
PAYA;MAIS;13
PESCA;Colombia Renaciente;36
PESCA;GRAN ALIANZA POR BOYACA;2602
PESCA;JUNTOS #ESMOMENTO;1284
PESCA;MAIS;265
PISBA;Colombia Renaciente;5
PISBA;GRAN ALIANZA POR BOYACA;496
PISBA;JUNTOS #ESMOMENTO;355
PISBA;MAIS;3
PUERTO BOYACA;Colombia Renaciente;419
PUERTO BOYACA;GRAN ALIANZA POR BOYACA;8991
PUERTO BOYACA;JUNTOS #ESMOMENTO;8321
PUERTO BOYACA;MAIS;633
QUIPAMA;Colombia Renaciente;51
QUIPAMA;GRAN ALIANZA POR BOYACA;1597
QUIPAMA;JUNTOS #ESMOMENTO;1206
QUIPAMA;MAIS;34
RAMIRIQUI;Colombia Renaciente;76
RAMIRIQUI;GRAN ALIANZA POR BOYACA;2967
RAMIRIQUI;JUNTOS #ESMOMENTO;2427
RAMIRIQUI;MAIS;304
RAQUIRA;Colombia Renaciente;35
RAQUIRA;GRAN ALIANZA POR BOYACA;2146
RAQUIRA;JUNTOS #ESMOMENTO;1302
RAQUIRA;MAIS;53
RONDON;Colombia Renaciente;22
RONDON;GRAN ALIANZA POR BOYACA;1107
RONDON;JUNTOS #ESMOMENTO;748
RONDON;MAIS;36
SABOYA;Colombia Renaciente;67
SABOYA;GRAN ALIANZA POR BOYACA;4532
SABOYA;JUNTOS #ESMOMENTO;1891
SABOYA;MAIS;121
SACHICA;Colombia Renaciente;48
SACHICA;GRAN ALIANZA POR BOYACA;1920
SACHICA;JUNTOS #ESMOMENTO;309
SACHICA;MAIS;354
SAMACA;Colombia Renaciente;152
SAMACA;GRAN ALIANZA POR BOYACA;7676
SAMACA;JUNTOS #ESMOMENTO;1108
SAMACA;MAIS;718
SAN EDUARDO;Colombia Renaciente;6
SAN EDUARDO;GRAN ALIANZA POR BOYACA;697
SAN EDUARDO;JUNTOS #ESMOMENTO;463
SAN EDUARDO;MAIS;15
SAN JOSE DE PARE;Colombia Renaciente;27
SAN JOSE DE PARE;GRAN ALIANZA POR BOYACA;1986
SAN JOSE DE PARE;JUNTOS #ESMOMENTO;1426
SAN JOSE DE PARE;MAIS;95
SAN LUIS DE GACENO;Colombia Renaciente;11
SAN LUIS DE GACENO;GRAN ALIANZA POR BOYACA;1608
SAN LUIS DE GACENO;JUNTOS #ESMOMENTO;1245
SAN LUIS DE GACENO;MAIS;19
