MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;HECTOR ZAMIR CABANZO BUITRAGO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;7,ALMEIDA;HECTOR ZAMIR CABANZO BUITRAGO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;7,0.0,0.0
ALMEIDA;HELVER FRANCISCO CIPAGAUTA TUTA;BOYACA POTENCIA DE VIDA;1,ALMEIDA;HELVER FRANCISCO CIPAGAUTA TUTA;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;ISABEL ALFONSO COMBITA;BOYACA POTENCIA DE VIDA;2,ALMEIDA;ISABEL ALFONSO COMBITA;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;IVAN FELIPE RAMIREZ BARRERA;PARTIDO ALIANZA VERDE;7,ALMEIDA;IVAN FELIPE RAMIREZ BARRERA;PARTIDO ALIANZA VERDE;7,0.0,0.0
ALMEIDA;IVAN RICARDO PIRACHICAN BERNAL;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;IVAN RICARDO PIRACHICAN BERNAL;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;JAIME EFRAIN MEDINA RAMIREZ;PARTIDO CAMBIO RADICAL;1,ALMEIDA;JAIME EFRAIN MEDINA RAMIREZ;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;JAIRO PACHECO SUAREZ;PARTIDO LIBERAL COLOMBIANO;12,ALMEIDA;JAIRO PACHECO SUAREZ;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
ALMEIDA;JHON ALEXANDER LOPEZ MENDOZA;PARTIDO ALIANZA VERDE;289,ALMEIDA;JHON ALEXANDER LOPEZ MENDOZA;PARTIDO ALIANZA VERDE;289,0.0,0.0
ALMEIDA;JONATHAN JAVIER COMBA GUTIERREZ;BOYACA POTENCIA DE VIDA;1,ALMEIDA;JONATHAN JAVIER COMBA GUTIERREZ;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;JORGE ENRIQUE CAMACHO RODRIGUEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;1,ALMEIDA;JORGE ENRIQUE CAMACHO RODRIGUEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;1,0.0,0.0
ALMEIDA;JOSE ARMANDO QUINONES GARZON;PARTIDO CENTRO DEMOCRATICO;22,ALMEIDA;JOSE ARMANDO QUIÑONES GARZON;PARTIDO CENTRO DEMOCRÁTICO;22,0.0,0.0
ALMEIDA;JUAN CAMILO MORALES RODRIGUEZ;PARTIDO LIBERAL COLOMBIANO;11,ALMEIDA;JUAN CAMILO MORALES RODRIGUEZ;PARTIDO LIBERAL COLOMBIANO;11,0.0,0.0
ALMEIDA;JUAN CARLOS BORDA TORRES;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;9,ALMEIDA;JUAN CARLOS BORDA TORRES;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;9,0.0,0.0
ALMEIDA;JUAN CARLOS VARGAS BARRETO;PARTIDO CAMBIO RADICAL;94,ALMEIDA;JUAN CARLOS VARGAS BARRETO;PARTIDO CAMBIO RADICAL;94,0.0,0.0
ALMEIDA;JULIAN ANDRES RUBIO CORTES;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;JULIAN ANDRES RUBIO CORTES;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;JULIAN DAVID GARCIA RUBIO;PARTIDO ALIANZA VERDE;7,ALMEIDA;JULIAN DAVID GARCIA RUBIO;PARTIDO ALIANZA VERDE;7,0.0,0.0
ALMEIDA;JULIAN DAVID MESA PINTO;PARTIDO ALIANZA VERDE;3,ALMEIDA;JULIAN DAVID MESA PINTO;PARTIDO ALIANZA VERDE;3,0.0,0.0
ALMEIDA;JULIO CESAR GONZALEZ ORJUELA;PARTIDO ALIANZA VERDE;2,ALMEIDA;JULIO CESAR GONZALEZ ORJUELA;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;KARENT DANIELA CHAPARRO CUERVO;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;KARENT DANIELA CHAPARRO CUERVO;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;KAROL RICARDO RAMIREZ SILVA;PARTIDO LIBERAL COLOMBIANO;6,ALMEIDA;KAROL RICARDO RAMIREZ SILVA;PARTIDO LIBERAL COLOMBIANO;6,0.0,0.0
ALMEIDA;LAURA ALEJANDRA RAMOS RIOS;PARTIDO CAMBIO RADICAL;5,ALMEIDA;LAURA ALEJANDRA RAMOS RIOS;PARTIDO CAMBIO RADICAL;5,0.0,0.0
ALMEIDA;LEIDY ALEJANDRA MORENO SANCHEZ;BOYACA POTENCIA DE VIDA;2,ALMEIDA;LEIDY ALEJANDRA MORENO SANCHEZ;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;LIBIA ROCIO GARCIA AMAYA;PARTIDO ALIANZA VERDE;4,ALMEIDA;LIBIA ROCIO GARCIA AMAYA;PARTIDO ALIANZA VERDE;4,0.0,0.0
ALMEIDA;LUIS EDUARDO RODRIGUEZ PEREZ;PARTIDO CAMBIO RADICAL;21,ALMEIDA;LUIS EDUARDO RODRIGUEZ PEREZ;PARTIDO CAMBIO RADICAL;21,0.0,0.0
