MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
PAUNA;Alianza Verde;65;4323;1.5
PAUNA;Centro Democrático;1314;4323;30.4
PAUNA;Partido Conservador Colombiano;1374;4323;31.78
PAUNA;Partido Liberal Colombiano;1353;4323;31.3
PAUNA;Partido de la U;212;4323;4.9
PAYA;Partido Conservador Colombiano;597;1146;52.09
PAYA;Partido Liberal Colombiano;549;1146;47.91
PAZ DE RIO;Partido Liberal Colombiano;3069;3069;100.0
PESCA;Partido Conservador Colombiano;2134;2134;100.0
PISBA;Alianza Verde;441;795;55.47
PISBA;Partido Conservador Colombiano;177;795;22.26
PISBA;Partido Liberal Colombiano;85;795;10.69
PISBA;Partido de la U;92;795;11.57
PUERTO BOYACA;Alianza Social Independiente;209;8240;2.54
PUERTO BOYACA;Alianza Verde;7224;8240;87.67
PUERTO BOYACA;Centro Democrático;807;8240;9.79
QUIPAMA;Alianza Verde;1241;3004;41.31
QUIPAMA;Centro Democrático;1763;3004;58.69
RAMIRIQUI;Partido Conservador Colombiano;2051;5811;35.3
RAMIRIQUI;Partido Liberal Colombiano;3760;5811;64.7
RAQUIRA;Centro Democrático;77;3427;2.25
RAQUIRA;Partido Conservador Colombiano;119;3427;3.47
RAQUIRA;Partido Liberal Colombiano;1652;3427;48.21
RAQUIRA;Partido de la U;1579;3427;46.08
RONDON;Alianza Verde;268;1747;15.34
RONDON;Partido Conservador Colombiano;574;1747;32.86
RONDON;Partido de la U;905;1747;51.8
SABOYA;Alianza Verde;122;2517;4.85
SABOYA;Partido Liberal Colombiano;2395;2517;95.15
SACHICA;Alianza Verde;697;2743;25.41
SACHICA;Partido Liberal Colombiano;1349;2743;49.18
SACHICA;Partido de la U;697;2743;25.41
SAMACA;Alianza Verde;2174;2549;85.29
SAMACA;Partido Liberal Colombiano;375;2549;14.71
SAN EDUARDO;Partido Liberal Colombiano;559;1162;48.11
SAN EDUARDO;Partido de la U;603;1162;51.89
SAN JOSE DE PARE;Partido Liberal Colombiano;2086;2086;100.0
SAN LUIS DE GACENO;Centro Democrático;1381;1381;100.0
SAN MATEO;Centro Democrático;1419;1419;100.0
SAN MIGUEL DE SEMA;Partido Conservador Colombiano;859;1916;44.83
SAN MIGUEL DE SEMA;Partido Liberal Colombiano;964;1916;50.31
SAN MIGUEL DE SEMA;Partido de la U;93;1916;4.85
SAN PABLO DE BORBUR;Centro Democrático;86;2693;3.19
SAN PABLO DE BORBUR;Partido Conservador Colombiano;1479;2693;54.92
SAN PABLO DE BORBUR;Partido Liberal Colombiano;1128;2693;41.89
SANTA MARIA;Partido de la U;532;532;100.0
SANTA ROSA DE VITERBO;Alianza Verde;1225;5464;22.42
SANTA ROSA DE VITERBO;Centro Democrático;1233;5464;22.57
SANTA ROSA DE VITERBO;Partido Conservador Colombiano;1244;5464;22.77
SANTA ROSA DE VITERBO;Partido Liberal Colombiano;188;5464;3.44
SANTA ROSA DE VITERBO;Partido de la U;1574;5464;28.81
