MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
EL COCUY;Alejandro Muñoz Sandoval;DESARROLLO SOSTENIBLE CON BIENESTAR PARA TODOS;854
EL COCUY;Henry Buitrago Correa;PARTIDO CONSERVADOR COLOMBIANO;564
EL ESPINO;Edberto Jose Jaime Cocunubo;PARTIDO CONSERVADOR COLOMBIANO;861
EL ESPINO;Armando Tarazona Gallo;EN EQUIPO POR EL ESPINO;718
EL ESPINO;Karen Dayanny Carreño Buitrago;PARTIDO ALIANZA VERDE;107
EL ESPINO;Saraith Santisteban Carrero;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO;28
FIRAVITOBA;Emiliano Alfonso Chaparro Fonseca;FIRAVITOBA NOS UNE;1610
FIRAVITOBA;Luz Amanda Rodriguez Salamanca;PARTIDO CENTRO DEMOCRATICO;1431
FIRAVITOBA;Luis Alfonso Rojas Lopez;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;804
FIRAVITOBA;Jhon Ezequiel Hernandez Preciado;PARTIDO CAMBIO RADICAL;130
FLORESTA;Wilmar Julian Rincon Mariño;PARTIDO ALIANZA VERDE;1578
FLORESTA;Jaime Arturo Saavedra Peñalosa;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL;840
FLORESTA;Juan Carlos Torres Olivares;PARTIDO DE UNIDAD NACIONAL - MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS;6
GACHANTIVA;Pedro Alonso Aguillon Puentes;PARTIDO CONSERVADOR COLOMBIANO;1001
GACHANTIVA;Jose Alfredo Forero Suarez;PARTIDO CAMBIO RADICAL;530
GACHANTIVA;Jefersson Vladimir Soacha Sanabria;PARTIDO CENTRO DEMOCRATICO;346
GACHANTIVA;Querubin Rodrigo Pinilla Reyes;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;235
GACHANTIVA;Jaime Armando Gomez Buitrago;PARTIDO COLOMBIA RENACIENTE;143
GACHANTIVA;Luis Carlos Guerrero;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;30
GAMEZA;Jose Alirio Ochica Perez;GENERACION DE OPORTUNIDADES;1521
GAMEZA;Jose Samuel Medina Alfonso;COMPROMISO SOCIAL PARA SEGUIR CRECIENDO;983
GAMEZA;Roberto Amarillo Salamanca;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;436
GAMEZA;Oscar Hernando Vega Quiroga;PARTIDO CONSERVADOR COLOMBIANO;188
GAMEZA;Rafael Antonio Nontoa Socha;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;9
GARAGOA;Fabio Augusto Arevalo;GARAGOA SOMOS TODOS;3266
GARAGOA;Michel Angel Sanchez;PARTIDO CONSERVADOR COLOMBIANO;2296
GARAGOA;Hugo Jose Moreno Alfonso;PARTIDO ALIANZA VERDE;1073
GARAGOA;Oscar Leonardo Rojas;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;778
GUACAMAYAS;Wilson Fernando Baron Gomez;PARTIDO CONSERVADOR COLOMBIANO;733
GUACAMAYAS;Dario Alexander Albarracin Valderrama;TODOS POR GUACAMAYAS;422
GUACAMAYAS;Juan Carlos Baron Baron;PARTIDO ALIANZA VERDE;29
GUATEQUE;Ivan Camilo Camero Alfonso;GUATEQUE RAZONES PARA CONFIAR;3398
GUATEQUE;John Alejandro Roa Gomez;PACTO POR GUATEQUE;1050
GUATEQUE;Luis Alejandro Sastoque Leiva;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;989
GUATEQUE;Mauricio Humberto Roa Bernal;COLOMBIA HUMANA - UNION PATRIOTICA;62
GUAYATA;John Santiago Ruiz Alfonso;PARTIDO CONSERVADOR COLOMBIANO;1160
GUAYATA;Julio Alberto Romero Camacho;ALCALDIA DE GUAYATA;1039
GUAYATA;Mayerly Ruiz Garcia;PARTIDO CENTRO DEMOCRATICO;667
GUICAN;Juan De Jesus Estupiñan Perez;UNIDOS POR GUICAN;991
GUICAN;Salomon Muñoz Martinez;PARTIDO CONSERVADOR COLOMBIANO;835
GUICAN;Francisco Javier Vargas Estupiñan;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;154
GUICAN;Roberto Arango Vargas;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;22
GUICAN;Diego Ricardo Lizarazo Jimenez;PARTIDO ADA;5
IZA;Robinson Leandro Salamanca Rincon;SUMATE POR IZA COMPROMISO DE TODOS;972
IZA;Marco Lino Suarez Torres;GARANTIA DE UN BUEN GOBIERNO;707
JENESANO;Nubia Jacqueline Caro Perez;JENESANO UN PROPOSITO DE TODOS;2528
