MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
CHIVOR;NUEVA FUERZA DEMOCRÁTICA;1;1358;0.07
CHIVOR;PACTO HISTÓRICO COLOMBIA PUEDE;17;1358;1.25
CHIVOR;RESULTADOS PARA BOYACA;443;1358;32.62
CIENEGA;BOYACÁ GRANDE;1376;2987;46.07
CIENEGA;BOYACÁ SOMOS TODOS;211;2987;7.06
CIENEGA;Creemos;2;2987;0.07
CIENEGA;NO MAS;26;2987;0.87
CIENEGA;NUEVA FUERZA DEMOCRÁTICA;10;2987;0.33
CIENEGA;PACTO HISTÓRICO COLOMBIA PUEDE;141;2987;4.72
CIENEGA;RESULTADOS PARA BOYACA;1221;2987;40.88
COMBITA;BOYACÁ GRANDE;2738;7707;35.53
COMBITA;BOYACÁ SOMOS TODOS;628;7707;8.15
COMBITA;Creemos;11;7707;0.14
COMBITA;NO MAS;93;7707;1.21
COMBITA;NUEVA FUERZA DEMOCRÁTICA;47;7707;0.61
COMBITA;PACTO HISTÓRICO COLOMBIA PUEDE;686;7707;8.9
COMBITA;RESULTADOS PARA BOYACA;3504;7707;45.47
COPER;BOYACÁ GRANDE;1410;2314;60.93
COPER;BOYACÁ SOMOS TODOS;25;2314;1.08
COPER;NO MAS;7;2314;0.3
COPER;NUEVA FUERZA DEMOCRÁTICA;9;2314;0.39
COPER;PACTO HISTÓRICO COLOMBIA PUEDE;55;2314;2.38
COPER;RESULTADOS PARA BOYACA;808;2314;34.92
CORRALES;BOYACÁ GRANDE;787;1822;43.19
CORRALES;BOYACÁ SOMOS TODOS;54;1822;2.96
CORRALES;NO MAS;34;1822;1.87
CORRALES;NUEVA FUERZA DEMOCRÁTICA;4;1822;0.22
CORRALES;PACTO HISTÓRICO COLOMBIA PUEDE;164;1822;9.0
CORRALES;RESULTADOS PARA BOYACA;779;1822;42.76
COVARACHIA;BOYACÁ GRANDE;1657;2084;79.51
COVARACHIA;BOYACÁ SOMOS TODOS;37;2084;1.78
COVARACHIA;Creemos;2;2084;0.1
COVARACHIA;NO MAS;16;2084;0.77
COVARACHIA;NUEVA FUERZA DEMOCRÁTICA;14;2084;0.67
COVARACHIA;PACTO HISTÓRICO COLOMBIA PUEDE;101;2084;4.85
COVARACHIA;RESULTADOS PARA BOYACA;257;2084;12.33
CUBARA;BOYACÁ GRANDE;1740;2847;61.12
CUBARA;BOYACÁ SOMOS TODOS;24;2847;0.84
CUBARA;Creemos;2;2847;0.07
CUBARA;NO MAS;15;2847;0.53
CUBARA;NUEVA FUERZA DEMOCRÁTICA;6;2847;0.21
CUBARA;PACTO HISTÓRICO COLOMBIA PUEDE;358;2847;12.57
CUBARA;RESULTADOS PARA BOYACA;702;2847;24.66
CUCAITA;BOYACÁ GRANDE;697;2582;26.99
CUCAITA;BOYACÁ SOMOS TODOS;176;2582;6.82
CUCAITA;Creemos;7;2582;0.27
CUCAITA;NO MAS;42;2582;1.63
CUCAITA;NUEVA FUERZA DEMOCRÁTICA;17;2582;0.66
CUCAITA;PACTO HISTÓRICO COLOMBIA PUEDE;738;2582;28.58
CUCAITA;RESULTADOS PARA BOYACA;905;2582;35.05
CUITIVA;BOYACÁ GRANDE;286;1365;20.95
CUITIVA;BOYACÁ SOMOS TODOS;34;1365;2.49
CUITIVA;Creemos;1;1365;0.07
CUITIVA;NO MAS;8;1365;0.59
CUITIVA;NUEVA FUERZA DEMOCRÁTICA;4;1365;0.29
CUITIVA;PACTO HISTÓRICO COLOMBIA PUEDE;68;1365;4.98
CUITIVA;RESULTADOS PARA BOYACA;964;1365;70.62
DUITAMA;BOYACÁ GRANDE;12028;53306;22.56
DUITAMA;BOYACÁ SOMOS TODOS;3120;53306;5.85
DUITAMA;Creemos;90;53306;0.17
DUITAMA;NO MAS;669;53306;1.26
DUITAMA;NUEVA FUERZA DEMOCRÁTICA;329;53306;0.62
DUITAMA;PACTO HISTÓRICO COLOMBIA PUEDE;7358;53306;13.8
DUITAMA;RESULTADOS PARA BOYACA;29712;53306;55.74
EL COCUY;BOYACÁ GRANDE;1094;2233;48.99
EL COCUY;BOYACÁ SOMOS TODOS;31;2233;1.39
EL COCUY;NO MAS;1;2233;0.04
EL COCUY;NUEVA FUERZA DEMOCRÁTICA;10;2233;0.45
EL COCUY;PACTO HISTÓRICO COLOMBIA PUEDE;41;2233;1.84
EL COCUY;RESULTADOS PARA BOYACA;1056;2233;47.29
EL ESPINO;BOYACÁ GRANDE;881;1570;56.11
EL ESPINO;BOYACÁ SOMOS TODOS;58;1570;3.69
EL ESPINO;Creemos;1;1570;0.06
EL ESPINO;NO MAS;4;1570;0.25
EL ESPINO;NUEVA FUERZA DEMOCRÁTICA;17;1570;1.08
