MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
BUSBANZA;OMAR VARGAS ALBARRACIN;PARTIDO CONSERVADOR COLOMBIANO;359,BUSBANZA;OMAR VARGAS ALBARRACIN;PARTIDO CONSERVADOR COLOMBIANO;359,0.0,0.0
BUSBANZA;WYLLAN ORLANDO PENALOZA ALBARRACIN;PARTIDO ALIANZA VERDE;417,BUSBANZA;WYLLAN ORLANDO PEÑALOZA ALBARRACIN;PARTIDO ALIANZA VERDE;417,0.0,0.0
CALDAS;ISNARDO ALFONSO CASTELLANOS PENA;UNIDOS POR EL PROGRESO DE CALDAS;961,CALDAS;ISNARDO ALFONSO CASTELLANOS PEÑA;UNIDOS POR EL PROGRESO DE CALDAS;961,0.0,0.0
CALDAS;JOHN CARLOS PAEZ CRUZ;PARTIDO ALIANZA VERDE;530,CALDAS;JOHN CARLOS PAEZ CRUZ;PARTIDO ALIANZA VERDE;530,0.0,0.0
CALDAS;JULIO GUILLERMO LANCHEROS LANCHEROS;PARTIDO CAMBIO RADICAL;206,CALDAS;JULIO GUILLERMO LANCHEROS LANCHEROS;PARTIDO CAMBIO RADICAL;206,0.0,0.0
CALDAS;VICTOR MANUEL CUERVO CANON;ALCALDIA DE CALDAS BOYACA;537,CALDAS;VICTOR MANUEL CUERVO CAÑON;ALCALDIA DE CALDAS BOYACA;537,0.0,0.0
CAMPOHERMOSO;JAIME YESID RODRIGUEZ ROMERO;PARTIDO CENTRO DEMOCRATICO;970,CAMPOHERMOSO;JAIME YESID RODRIGUEZ ROMERO;PARTIDO CENTRO DEMOCRATICO;970,0.0,0.0
CAMPOHERMOSO;MARCO JULIO VEGA GALLEGO;PARTIDO CONSERVADOR COLOMBIANO;888,CAMPOHERMOSO;MARCO JULIO VEGA GALLEGO;PARTIDO CONSERVADOR COLOMBIANO;888,0.0,0.0
CERINZA;CAMILO JOSUE CASTRO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;319,CERINZA;CAMILO JOSUE CASTRO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;319,0.0,0.0
CERINZA;GLORIA ESPERANZA VEGA PINTO;PARTIDO CENTRO DEMOCRATICO;588,CERINZA;GLORIA ESPERANZA VEGA PINTO;PARTIDO CENTRO DEMOCRATICO;588,0.0,0.0
CERINZA;HENRY ANTONIO ESLAVA MANOSALVA;PARTIDO ALIANZA VERDE;611,CERINZA;HENRY ANTONIO ESLAVA MANOSALVA;PARTIDO ALIANZA VERDE;611,0.0,0.0
CERINZA;JUAN ALCIBIADES CELY AMAYA;PARTIDO CONSERVADOR COLOMBIANO;739,CERINZA;JUAN ALCIBIADES CELY AMAYA;PARTIDO CONSERVADOR COLOMBIANO;739,0.0,0.0
CERINZA;MARCO ANTONIO CUCAITA MARTINEZ;PARTIDO CAMBIO RADICAL;332,CERINZA;MARCO ANTONIO CUCAITA MARTINEZ;PARTIDO CAMBIO RADICAL;332,0.0,0.0
CHINAVITA;FIYER ALEXANDER URREGO BEJARANO;PARTIDO ALIANZA VERDE;978,CHINAVITA;FIYER ALEXANDER URREGO BEJARANO;PARTIDO ALIANZA VERDE;978,0.0,0.0
CHINAVITA;FLORENTINO TORRES SANABRIA;PARTIDO CENTRO DEMOCRATICO;547,CHINAVITA;FLORENTINO TORRES SANABRIA;PARTIDO CENTRO DEMOCRATICO;547,0.0,0.0
CHINAVITA;RAUL ANTONIO CUBIDES RAMIREZ;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;650,CHINAVITA;RAUL ANTONIO CUBIDES RAMIREZ;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;650,0.0,0.0
CHIQUINQUIRA;AZAEL ANTONIO ORTEGON PAEZ;PARTIDO CENTRO DEMOCRATICO;1575,CHIQUINQUIRA;AZAEL ANTONIO ORTEGON PAEZ;PARTIDO CENTRO DEMOCRATICO;1575,0.0,0.0
CHIQUINQUIRA;DIANA YOLIMA CASTELLANOS CASTILLO;PARTIDO COLOMBIA JUSTA LIBRES;655,CHIQUINQUIRA;DIANA YOLIMA CASTELLANOS CASTILLO;PARTIDO COLOMBIA JUSTA LIBRES;655,0.0,0.0
CHIQUINQUIRA;JEFFERSON LEONARDO CARO CASAS;JEFFERSON CARO ALCALDE 2020 - 2023;7433,CHIQUINQUIRA;JEFFERSON LEONARDO CARO CASAS;JEFFERSON CARO ALCALDE 2020 - 2023;7433,0.0,0.0
CHIQUINQUIRA;JOSE RICARDO SALINAS TORRES;PARTIDO CONSERVADOR COLOMBIANO;3527,CHIQUINQUIRA;JOSE RICARDO SALINAS TORRES;PARTIDO CONSERVADOR COLOMBIANO;3527,0.0,0.0
CHIQUINQUIRA;LUIS GIOVANNY SALINAS ROZO;PARTIDO ALIANZA VERDE;1240,CHIQUINQUIRA;LUIS GIOVANNY SALINAS ROZO;PARTIDO ALIANZA VERDE;1240,0.0,0.0
"CHIQUINQUIRA;MAURICIO ALBERTO LANDAZABAL SUAZA;""PARTIDO DE REIVINDICACION ETNICA """"PRE"""""";13","CHIQUINQUIRA;MAURICIO ALBERTO LANDAZABAL SUAZA;""PARTIDO DE REIVINDICACION ETNICA """"PRE"""""";13",0.0,0.0
CHIQUINQUIRA;SANDRA IMELDA SANCHEZ PENA;PARTIDO COLOMBIA RENACIENTE;44,CHIQUINQUIRA;SANDRA IMELDA SANCHEZ PEÑA;PARTIDO COLOMBIA RENACIENTE;44,0.0,0.0
