MUNNOMBRE;PARNOMBRE;VOTOS
CORRALES;Gran Consulta por Colombia;427
CORRALES;Valientes;19
COVARACHIA;Alianza Verde;5
COVARACHIA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
COVARACHIA;Con Toda por Colombia;20
COVARACHIA;FRENTE POR LA VIDA;15
COVARACHIA;Gran Consulta por Colombia;624
COVARACHIA;Valientes;16
CUBARA;Alianza Verde;7
CUBARA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;57
CUBARA;Con Toda por Colombia;46
CUBARA;FRENTE POR LA VIDA;47
CUBARA;Gran Consulta por Colombia;258
CUBARA;Valientes;21
CUCAITA;Alianza Verde;14
CUCAITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;183
CUCAITA;Con Toda por Colombia;101
CUCAITA;FRENTE POR LA VIDA;46
CUCAITA;Gran Consulta por Colombia;243
CUCAITA;Valientes;27
CUITIVA;Alianza Verde;8
CUITIVA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;48
CUITIVA;Con Toda por Colombia;45
CUITIVA;FRENTE POR LA VIDA;24
CUITIVA;Gran Consulta por Colombia;293
CUITIVA;Valientes;8
DUITAMA;Alianza Verde;541
DUITAMA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;3589
DUITAMA;Con Toda por Colombia;6721
DUITAMA;FRENTE POR LA VIDA;1932
DUITAMA;Gran Consulta por Colombia;12562
DUITAMA;Valientes;860
EL COCUY;Alianza Verde;7
EL COCUY;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;33
EL COCUY;Con Toda por Colombia;34
EL COCUY;FRENTE POR LA VIDA;23
EL COCUY;Gran Consulta por Colombia;490
EL COCUY;Valientes;14
EL ESPINO;Alianza Verde;2
EL ESPINO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;9
EL ESPINO;Con Toda por Colombia;24
EL ESPINO;FRENTE POR LA VIDA;20
EL ESPINO;Gran Consulta por Colombia;566
EL ESPINO;Valientes;20
FIRAVITOBA;Alianza Verde;18
FIRAVITOBA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;191
FIRAVITOBA;Con Toda por Colombia;174
FIRAVITOBA;FRENTE POR LA VIDA;129
FIRAVITOBA;Gran Consulta por Colombia;563
FIRAVITOBA;Valientes;43
FLORESTA;Alianza Verde;7
FLORESTA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;76
FLORESTA;Con Toda por Colombia;148
FLORESTA;FRENTE POR LA VIDA;52
FLORESTA;Gran Consulta por Colombia;615
FLORESTA;Valientes;33
GACHANTIVA;Alianza Verde;6
GACHANTIVA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;37
GACHANTIVA;Con Toda por Colombia;55
GACHANTIVA;FRENTE POR LA VIDA;44
GACHANTIVA;Gran Consulta por Colombia;301
GACHANTIVA;Valientes;12
GAMEZA;Alianza Verde;9
GAMEZA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;68
GAMEZA;Con Toda por Colombia;99
GAMEZA;FRENTE POR LA VIDA;63
GAMEZA;Gran Consulta por Colombia;651
GAMEZA;Valientes;38
GARAGOA;Alianza Verde;53
GARAGOA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;377
GARAGOA;Con Toda por Colombia;628
GARAGOA;FRENTE POR LA VIDA;191
GARAGOA;Gran Consulta por Colombia;1452
GARAGOA;Valientes;96
GUACAMAYAS;Alianza Verde;2
GUACAMAYAS;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;15
GUACAMAYAS;Con Toda por Colombia;34
GUACAMAYAS;FRENTE POR LA VIDA;4
GUACAMAYAS;Gran Consulta por Colombia;337
GUACAMAYAS;Valientes;10
GUATEQUE;Alianza Verde;43
GUATEQUE;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;216
GUATEQUE;Con Toda por Colombia;444
GUATEQUE;FRENTE POR LA VIDA;120
GUATEQUE;Gran Consulta por Colombia;1062
GUATEQUE;Valientes;88
GUAYATA;Alianza Verde;9
GUAYATA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;72
GUAYATA;Con Toda por Colombia;84
GUAYATA;FRENTE POR LA VIDA;20
GUAYATA;Gran Consulta por Colombia;649
GUAYATA;Valientes;25
GUICAN;Alianza Verde;1
GUICAN;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
GUICAN;Con Toda por Colombia;24
GUICAN;FRENTE POR LA VIDA;20
GUICAN;Gran Consulta por Colombia;345
GUICAN;Valientes;13
IZA;Alianza Verde;7
IZA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;36
IZA;Con Toda por Colombia;105
IZA;FRENTE POR LA VIDA;39
IZA;Gran Consulta por Colombia;357
IZA;Valientes;15
JENESANO;Alianza Verde;22
JENESANO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;121
JENESANO;Con Toda por Colombia;210
JENESANO;FRENTE POR LA VIDA;65
JENESANO;Gran Consulta por Colombia;649
JENESANO;Valientes;42
JERICO;Alianza Verde;11
JERICO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;16
JERICO;Con Toda por Colombia;30
JERICO;FRENTE POR LA VIDA;17
JERICO;Gran Consulta por Colombia;492
JERICO;Valientes;12
LA CAPILLA;Alianza Verde;13
LA CAPILLA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;37
LA CAPILLA;Con Toda por Colombia;50
LA CAPILLA;FRENTE POR LA VIDA;37
LA CAPILLA;Gran Consulta por Colombia;216
LA CAPILLA;Valientes;16
LA UVITA;Alianza Verde;6
LA UVITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;41
LA UVITA;Con Toda por Colombia;41
LA UVITA;FRENTE POR LA VIDA;32
LA UVITA;Gran Consulta por Colombia;491
LA UVITA;Valientes;9
LA VICTORIA;Alianza Verde;3
