MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;JUAN SAMY MERHEG MARUN;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Juan Samy Merheg Marun;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;JULIANA MARIA ESCALANTE GARCIA;PARTIDO CAMBIO RADICAL;1,ALMEIDA;Juliana Maria Escalante Garcia;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;LEON RIGOBERTO BARON NEIRA;PARTIDO CENTRO DEMOCRATICO;7,ALMEIDA;Leon Rigoberto Baron Neira;PARTIDO CENTRO DEMOCRATICO;7,0.0,0.0
ALMEIDA;LUIS ALFONSO ESCOBAR JARAMILLO;PARTIDO ALIANZA VERDE;1,ALMEIDA;Luis Alfonso Escobar Jaramillo;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;LUZ ALBA MUNETON JARAMILLO;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Luz Alba Muneton Jaramillo;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;MARIA FERNANDA CABAL MOLINA;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Maria Fernanda Cabal Molina;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;MARITZA MARTINEZ ARISTIZABAL;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;64,ALMEIDA;Maritza Martinez Aristizabal;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;64,0.0,0.0
ALMEIDA;MAURICIO GOMEZ AMIN;PARTIDO LIBERAL COLOMBIANO;8,ALMEIDA;Mauricio Gomez Amin;PARTIDO LIBERAL COLOMBIANO;8,0.0,0.0
ALMEIDA;MIGUEL ALBERTO MATUS ALVARADO;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Miguel Alberto Matus Alvarado;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;MIGUEL ANGEL BARRETO CASTILLO;PARTIDO CONSERVADOR COLOMBIANO;72,ALMEIDA;Miguel Angel Barreto Castillo;PARTIDO CONSERVADOR COLOMBIANO;72,0.0,0.0
ALMEIDA;MIGUEL GOMEZ MARTINEZ;PARTIDO CONSERVADOR COLOMBIANO;6,ALMEIDA;Miguel Gomez Martinez;PARTIDO CONSERVADOR COLOMBIANO;6,0.0,0.0
ALMEIDA;MILLA PATRICIA ROMERO SOTO;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Milla Patricia Romero Soto;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;4,ALMEIDA;Movimiento Alternativo Indigena Y Social  Mais;Movimiento Alternativo Indigena Y Social  Mais;4,0.0,0.0
ALMEIDA;NANCY YANETH RIANO CASTRO;PARTIDO ALIANZA VERDE;1,ALMEIDA;Nancy Yaneth Riano Castro;PARTIDO ALIANZA VERDE;1,0.0,0.0
ALMEIDA;OLGA BEATRIZ GONZALEZ CORREA;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Olga Beatriz Gonzalez Correa;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;OSCAR OSPINA QUINTERO;PARTIDO ALIANZA VERDE;2,ALMEIDA;Oscar Ospina Quintero;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;OSMAN FERNANDO ROA LOPEZ;PARTIDO CAMBIO RADICAL;16,ALMEIDA;Osman Fernando Roa Lopez;PARTIDO CAMBIO RADICAL;16,0.0,0.0
ALMEIDA;OSWALDO FERRI ORTIZ RAMOS;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Oswaldo Ferri Ortiz Ramos;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;PABLO ANDRES GUERRERO PEREZ;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Pablo Andres Guerrero Perez;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;PABLO ENRIQUE VALDES RODRIGUEZ;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;Pablo Enrique Valdes Rodriguez;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;PALOMA SUSANA VALENCIA LASERNA;PARTIDO CENTRO DEMOCRATICO;2,ALMEIDA;Paloma Susana Valencia Laserna;PARTIDO CENTRO DEMOCRATICO;2,0.0,0.0
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;30,ALMEIDA;Partido Alianza Verde;Partido Alianza Verde;30,0.0,0.0
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;7,ALMEIDA;Partido Cambio Radical;Partido Cambio Radical;7,0.0,0.0
