MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
LA UVITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;203
LA VICTORIA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;674
LA VICTORIA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;149
LABRANZAGRANDE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1634
LABRANZAGRANDE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;394
MACANAL;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1735
MACANAL;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;501
MARIPI;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2679
MARIPI;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;481
MIRAFLORES;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2656
MIRAFLORES;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2480
MONGUA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2348
MONGUA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;529
MONGUI;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1590
MONGUI;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;922
MONIQUIRA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;7746
MONIQUIRA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;4045
MOTAVITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1905
MOTAVITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1894
MUZO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3239
MUZO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1092
NOBSA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;6169
NOBSA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3164
NUEVO COLON;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1969
NUEVO COLON;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1137
OICATA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1047
OICATA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;827
OTANCHE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3284
OTANCHE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;706
PACHAVITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1005
PACHAVITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;293
PAEZ;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1327
PAEZ;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;350
PAIPA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;10426
PAIPA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;9303
PAJARITO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;892
PAJARITO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;225
PANQUEBA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;736
PANQUEBA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;164
PAUNA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2963
PAUNA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;964
PAYA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;850
PAYA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;171
PAZ DE RIO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1410
PAZ DE RIO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1026
PESCA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2788
PESCA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;936
PISBA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;527
PISBA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;203
PUERTO BOYACA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;15107
PUERTO BOYACA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;7030
QUIPAMA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2301
QUIPAMA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;410
RAMIRIQUI;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3890
RAMIRIQUI;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1917
RAQUIRA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2314
RAQUIRA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1004
RONDON;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1105
RONDON;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;380
SABOYA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3936
SABOYA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2208
SACHICA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1949
SACHICA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;901
SAMACA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;5944
SAMACA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;3610
SAN EDUARDO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;651
SAN EDUARDO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;297
SAN JOSE DE PARE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2694
SAN JOSE DE PARE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;515
SAN LUIS DE GACENO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2228
SAN LUIS DE GACENO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;382
SAN MATEO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1793
SAN MATEO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;249
SAN MIGUEL DE SEMA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1292
SAN MIGUEL DE SEMA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;384
SAN PABLO DE BORBUR;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2751
SAN PABLO DE BORBUR;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;469
SANTA MARIA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1258
SANTA MARIA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;691
SANTA ROSA DE VITERBO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3738
SANTA ROSA DE VITERBO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2244
SANTA SOFIA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1646
SANTA SOFIA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;342
SANTANA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3329
SANTANA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;941
SATIVANORTE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1164
SATIVANORTE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;227
SATIVASUR;RODOLFO HERNÁNDEZ;Liga de Gobernantes;431
SATIVASUR;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;196
SIACHOQUE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2927
SIACHOQUE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1198
SOATA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3433
SOATA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1381
SOCHA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2037
SOCHA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1505
SOCOTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2254
