MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
BUENAVISTA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;19
BUENAVISTA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;103
BUENAVISTA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;38
BUENAVISTA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;7
BUENAVISTA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;9
BUENAVISTA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;1
BUENAVISTA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;596
BUENAVISTA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;15
BUENAVISTA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;24
BUENAVISTA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;115
BUENAVISTA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;50
BUSBANZA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;1
BUSBANZA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
BUSBANZA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;2
BUSBANZA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;1
BUSBANZA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;17
BUSBANZA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;8
BUSBANZA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;33
BUSBANZA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;8
BUSBANZA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;150
BUSBANZA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;4
BUSBANZA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;15
BUSBANZA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;22
BUSBANZA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;15
CALDAS;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;53
CALDAS;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;12
CALDAS;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;8
CALDAS;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;7
CALDAS;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;1
CALDAS;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;27
CALDAS;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;85
