MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
GUATEQUE;LUIS ALEJANDRO SASTOQUE LEIVA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;989
GUATEQUE;MAURICIO HUMBERTO ROA BERNAL;COLOMBIA HUMANA - UNION PATRIOTICA;62
GUAYATA;JOHN SANTIAGO RUIZ ALFONSO;PARTIDO CONSERVADOR COLOMBIANO;1160
GUAYATA;JULIO ALBERTO ROMERO CAMACHO;ALCALDIA DE GUAYATA;1039
GUAYATA;MAYERLY RUIZ GARCIA;PARTIDO CENTRO DEMOCRATICO;667
GUICAN;DIEGO RICARDO LIZARAZO JIMENEZ;PARTIDO ADA;5
GUICAN;FRANCISCO JAVIER VARGAS ESTUPIÑAN;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;154
GUICAN;JUAN DE JESUS ESTUPIÑAN PEREZ;UNIDOS POR GUICAN;991
GUICAN;ROBERTO ARANGO VARGAS;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;22
GUICAN;SALOMON MUÑOZ MARTINEZ;PARTIDO CONSERVADOR COLOMBIANO;835
IZA;MARCO LINO SUAREZ TORRES;GARANTIA DE UN BUEN GOBIERNO;707
IZA;ROBINSON LEANDRO SALAMANCA RINCON;SUMATE POR IZA COMPROMISO DE TODOS;972
JENESANO;ALFONSO CASTELBLANCO GALINDO;UNA MISION DE TODOS;1838
JENESANO;NUBIA JACQUELINE CARO PEREZ;JENESANO UN PROPOSITO DE TODOS;2528
JERICO;JOSE IGNACIO CAMACHO SIABATO;PARTIDO CONSERVADOR COLOMBIANO;1260
JERICO;MAYERLY BAEZ MERCHAN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1340
LA CAPILLA;ALVARO EFRAIN ROJAS BERMUDEZ;PARTIDO CONSERVADOR COLOMBIANO;284
LA CAPILLA;HUGO PERALTA GOMEZ;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;588
LA CAPILLA;RAUL HERNANDO RODRIGUEZ CHAVARRO;PARTIDO ALIANZA VERDE;1056
LA UVITA;LUIS GUILLERMO BERRIO HERNANDEZ;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL;394
LA UVITA;RONALD GERARDO CORDERO JAIME;PARTIDO ALIANZA VERDE;545
LA UVITA;VICTOR MANUEL GALVIS;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;378
LA UVITA;VICTOR MANUEL ROSAS HERNANDEZ;PARTIDO CENTRO DEMOCRATICO;517
LA VICTORIA;CESAR EDUARDO PALACIOS FLORIDO;PARTIDO CENTRO DEMOCRATICO;654
LA VICTORIA;LEONARDO VEGA BUSTOS;UINDOS POR UNA VICTORIA PROSPERA Y SOLIDARIA;674
LABRANZAGRANDE;ERICA PAOLA PEÑA ALVAREZ;AL SERVICIO DE LA GENTE;1017
LABRANZAGRANDE;HERNANDO ABRAHAN PEREZ FERNANDEZ;SEGUIMOS TRABAJANDO JUNTOS;702
