MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CHIVATA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;45
CHIVATA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1223
CHIVOR;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;604
CHIVOR;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;10
CHIVOR;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;3
CHIVOR;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;575
CIENEGA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1140
CIENEGA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;40
CIENEGA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;21
CIENEGA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1650
COMBITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1732
COMBITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;646
COMBITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;158
COMBITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;3851
COPER;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;635
COPER;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;94
COPER;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;4
COPER;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1407
CORRALES;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;404
CORRALES;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;23
CORRALES;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;21
CORRALES;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1183
COVARACHIA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;879
COVARACHIA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;72
COVARACHIA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;14
COVARACHIA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1035
CUBARA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;623
CUBARA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;495
CUBARA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;55
CUBARA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1578
